uraian pekerjaan,section,pekerjaan,satuan,volume,harga satuan,nilai,bobot
Bekisting (Pondasi Foot Plat P1 (60x140x140cm)),II.,PEKERJAAN TANAH DAN PONDASI,m2,120.96,154133.100000,18643939.776000,0.3904
Pembesian (besi ulir) (Pondasi Foot Plat P1 (60x140x140cm)),II.,PEKERJAAN TANAH DAN PONDASI,kg,3537.936,11629.200000,41143365.331200,0.8615
Cor Beton K.250 (Pondasi Foot Plat P1 (60x140x140cm)),II.,PEKERJAAN TANAH DAN PONDASI,m3,42.336,973704.997222,41222774.762400,0.8632
Pas. Batu Kosong (Anstamping),II.,PEKERJAAN TANAH DAN PONDASI,m3,26.9934,456473.820000,12321780.412788,0.258
Galian Pondasi (Pas. Pondasi Batu kali ),II.,PEKERJAAN TANAH DAN PONDASI,m3,87.72855,73150.000000,6417343.432500,0.1344
Pas. Batu kali  1 Pc : 4Psr (Pas. Pondasi Batu kali ),II.,PEKERJAAN TANAH DAN PONDASI,m3,69.4116,758873.940000,52674654.373704,1.103
Pas. Bata merah (dudukan rabat beton keliling),II.,PEKERJAAN TANAH DAN PONDASI,m2,86.016,111288.331786,9572577.146880,0.2004
Bekisting (Beton Sloof S1 20 x 40 cm),II.,PEKERJAAN TANAH DAN PONDASI,m2,159.6,122876.050000,19611017.580000,0.4106
Pembesian (besi ulir) (Beton Sloof S1 20 x 40 cm),II.,PEKERJAAN TANAH DAN PONDASI,kg,1659.84,11629.200000,19302611.328000,0.4042
Pembesian (besi polos) (Beton Sloof S1 20 x 40 cm),II.,PEKERJAAN TANAH DAN PONDASI,kg,570.57,11196.075000,6388144.512750,0.1338
Cor Beton K.250 (Beton Sloof S1 20 x 40 cm),II.,PEKERJAAN TANAH DAN PONDASI,m3,15.96,973704.997222,15540331.755667,0.3254
Bekisting (Beton Sloof S2  15 x 25 cm),II.,PEKERJAAN TANAH DAN PONDASI,m2,22.28,122876.050000,2737678.394000,0.0573
Pembesian (besi polos) (Beton Sloof S2  15 x 25 cm),II.,PEKERJAAN TANAH DAN PONDASI,kg,299.7248,11196.075000,3355741.340160,0.0703
Cor Beton K.250 (Beton Sloof S2  15 x 25 cm),II.,PEKERJAAN TANAH DAN PONDASI,m3,1.671,973704.997222,1627061.050358,0.0341
Rabat beton tebal 7 cm (Plat Lantai Kerja tbl = 7 cm Elevasi ± 0.00),II.,PEKERJAAN TANAH DAN PONDASI,m2,37.100616,780977.450000,28974744.477109,0.6067
Lantai Kerja Bawah Pondasi t=5 cm,II.,PEKERJAAN TANAH DAN PONDASI,m3,3.528,780977.450000,2755288.443600,0.0577
Urugan Pasir Bawah Pondasi tbl 5 cm,II.,PEKERJAAN TANAH DAN PONDASI,m3,3.528,197560.000000,696991.680000,0.0146
Urugan Tanah Sirtu 80 cm  peninggian(Dipadatkan Tiap 20 cm Dengan Stamper),II.,PEKERJAAN TANAH DAN PONDASI,m3,386.906424,269337.266000,104208318.437997,2.1821
Bekisting (Kolom K1 40x40 cm Elv.0.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,276.48,186029.800000,51433519.104000,1.077
Pembesian (besi ulir) (Kolom K1 40x40 cm Elv.0.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,3958.848,11629.200000,46038235.161600,0.964
Pembesian (besi polos) (Kolom K1 40x40 cm Elv.0.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,651.456,11196.075000,7293750.235200,0.1527
Cor Beton K.250 (Kolom K1 40x40 cm Elv.0.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,27.648,973704.997222,26920995.763200,0.5637
Bekisting (Balok B1 30x65 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,43.52,189371.050000,8241428.096000,0.1726
Pembesian (besi ulir) (Balok B1 30x65 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,657.28,11629.200000,7643640.576000,0.1601
Pembesian (besi polos) (Balok B1 30x65 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,174.72,11196.075000,1956178.224000,0.041
Cor Beton K.250 (Balok B1 30x65 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,5.088,973704.997222,4954211.025867,0.1037
Bekisting (Balok B1A 30x65 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,12.58,189371.050000,2382287.809000,0.0499
Pembesian (besi ulir) (Balok B1A 30x65 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,219.225,11629.200000,2549411.370000,0.0534
Pembesian (besi polos) (Balok B1A 30x65 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,63.13125,11196.075000,706822.209844,0.0148
Cor Beton K.250 (Balok B1A 30x65 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,1.47075,973704.997222,1432076.624665,0.03
Bekisting (Balok B2 20x45 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,199.52,189371.050000,37783311.896000,0.7912
Pembesian (besi ulir) (Balok B2 20x45 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,2895.36,11629.200000,33670720.512000,0.705
Pembesian (besi polos) (Balok B2 20x45 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,693.68,11196.075000,7766493.306000,0.1626
Cor Beton K.250 (Balok B2 20x45 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,15.312,973704.997222,14909370.917467,0.3122
Bekisting (Balok B3 20x40 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,84.664,189371.050000,16032910.577200,0.3357
Pembesian (besi ulir) (Balok B3 20x40 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,1042.704,11629.200000,12125813.356800,0.2539
Pembesian (besi polos) (Balok B3 20x40 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,304.122,11196.075000,3404972.721150,0.0713
Cor Beton K.250 (Balok B3 20x40 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,6.2384,973704.997222,6074361.254671,0.1272
Bekisting (Balok B4 15x30 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,4.08,189371.050000,772633.884000,0.0162
Pembesian (besi polos) (Balok B4 15x30 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,72.56,11196.075000,812387.202000,0.017
Cor Beton K.250 (Balok B4 15x30 cm Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,0.216,973704.997222,210320.279400,0.0044
Bekisting (Plat Lantai Tebal 12 cm  Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,368.748,205829.800000,75899327.090400,1.5893
Pembesian (besi polos) (Plat Lantai Tebal 12 cm  Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,3641.4336,11196.075000,40769763.693120,0.8537
Cor Beton K.250 (Plat Lantai Tebal 12 cm  Elv.4.00),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,98.12976,973704.997222,95549437.688217,2.0008
Bekisting (Balok Bordes 15x30 cm ),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,5.304,205829.800000,1091721.259200,0.0229
Pembesian (besi polos) (Balok Bordes 15x30 cm ),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,94.57066667,11196.075000,1058820.276800,0.0222
Cor Beton K.250 (Balok Bordes 15x30 cm ),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,0.2808,973704.997222,273416.363220,0.0057
Bekisting (Plat Tangga Tebal 12 cm),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m2,35.022,205829.800000,7208571.255600,0.1509
Pembesian (besi polos) (Plat Tangga Tebal 12 cm),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,kg,756.6173333,11196.075000,8471144.410300,0.1774
Cor Beton K.250 (Plat Tangga Tebal 12 cm),III. PEKERJAAN LANTAI I,A. PEKERJAAN STRUKTUR LT. I Elv. 0.00 s/d 4.00,m3,4.09756,973704.997222,3989814.648418,0.0835
Pasangan Bata Ringan uk. 60 x 20 x 10 cm (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,654.6166,128190.494578,83915625.713174,1.7571
Plesteran Dinding (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,1132.9472,59438.236000,67340383.049139,1.4101
Acian dinding (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,1132.9472,35879.800000,40649918.946560,0.8512
Pas.kolom praktis 11/11 cm (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m1,104,69945.645000,7274347.080000,0.1523
Pas. Balok latei 10/15 cm (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m1,57.8,91008.362500,5260283.352500,0.1101
Plat Kanopi tebal 7 cm (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m3,1.2432,3752746.945750,4665415.002956,0.0977
Plat meja wastafel tebal 7 cm (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m3,0.1106,3752746.945750,415053.812200,0.0087
"Pas. Railing Tangga Stainless Steel (Pipa Dia 2"" & Pipa dia 1"") (Pekerjaan Pasangan dan Plesteran)",III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m1,21.58,425313.388500,9178262.923830,0.1922
Pengecatan Dinding luar (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,212.892825,39679.750000,8447534.072794,0.1769
Pengecatan Dinding dalam (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,566.4736,21152.670000,11982429.124512,0.2509
Pengecatan Plafond (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,416.671,17778.750000,7407889.541250,0.1551
Pas. Homogeneus Tile 60x60 cm lantai ruang (Polish) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,434.305,186423.600000,80964701.598000,1.6954
Pas. Homogeneus Tile 60x60 cm teras keliling gedung  (Un Polish)  (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,98.275,189449.975000,18618196.293125,0.3899
Pas. Homogeneus Tile 60x60 cm lantai toilet (Un Polish)  (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,30.06,189449.975000,5694866.248500,0.1192
Pas. Homogeneus Tile 20x60 cm tangga  (Un Polish)  (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,26.208,188246.584167,4933566.477840,0.1033
Pas. Step Nossing 10x60 cm tangga (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m',26,49709.302500,1292441.865000,0.0271
Pas. Plint granit 10x60 cm (Polish) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m',159.6,43070.802500,6874100.079000,0.1439
Pas. Keramik 25x45 cm pintu P1 (Polish) Setara  ROMAN (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,13.8,150222.731389,2073073.693167,0.0434
Pas. Homogeneus Tile 60x60 cm lantai kamar mandi (Un Polish) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,18.48,189449.975000,3501035.538000,0.0733
Pas. Homogeneus Tile 30x60 cm dinding kamar mandi (Polish) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,61.452,188246.584167,11568129.090210,0.2422
Pas. Homogeneus Tile 60x60 cm Meja wastafel (Polish) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,1.58,186423.600000,294549.288000,0.0062
Pas. Homogeneus Tile 30x60 cm dinding wastafel (Polish) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,17.46,188246.584167,3286785.359550,0.0688
Pas. Flexiwall motif batu alam (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,104.9,177500.000000,18619750.000000,0.3899
Pek. Plafond Gybsum Board 9 mm Rangka Hollow 4/4 dan 2/4 (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m2,416.671,89867.910000,37445351.927610,0.7841
Pas. Lis Profil 10 cm (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,m1,249.38,29432.700000,7339926.726000,0.1537
Pintu type P1  ( kaca temperead tebal 12 mm + asesoris) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,set,2,9640976.400000,19281952.800000,0.4038
Kusen + Pintu type P2  (steel door) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,Unit,4,4970000.000000,19880000.000000,0.4163
Kusen + Pintu type P3  (steel door) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,Unit,6,3550000.000000,21300000.000000,0.446
Kusen + Pintu type P4  (steel door) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,Unit,2,1952500.000000,3905000.000000,0.0818
Kusen + Jendela J1 (aluminium warna putih) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,Unit,12,2390131.313064,28681575.756773,0.6006
Kusen + Glassblok J3 (aluminium warna putih) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,Unit,2,490543.140100,981086.280199,0.0205
Kusen BV1 (aluminium warna putih) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,Unit,8,260071.998033,2080575.984263,0.0436
Kusen BV2 (aluminium warna putih) (Pekerjaan Pasangan dan Plesteran),III. PEKERJAAN LANTAI I,B. PEKERJAAN ARSITEKTUR LANTAI I,Unit,2,468824.597716,937649.195432,0.0196
"Pas. Kloset Jongkok (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,6,535264.400000,3211586.400000,0.0672
"Pas.  Wastafel (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,4,976685.600000,3906742.400000,0.0818
"Pas. Floordrain 3"" Stainles Steel (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,6,60555.000000,363330.000000,0.0076
"Pas. Kran air 1/2"" Stainles Steel (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,12,71000.000000,852000.000000,0.0178
"Pas. Kran Wastafel  (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,4,106500.000000,426000.000000,0.0089
"Inst. Air Bersih (PVC.3/4 "") + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,m1,50,19938.634375,996931.718750,0.0209
"Inst. Air Bersih (PVC.1 "") + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,m1,30,22520.815625,675624.468750,0.0141
"Inst. Air Buangan (PVC. 3"" ) + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,m1,25,52870.743750,1321768.593750,0.0277
"Inst. Pipa Buangan air padat (PVC. 4"" ) + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,m1,25,109678.731250,2741968.281250,0.0574
"Pengeboran Sumur + Pipa + Accsesoris Kedalama 24 m (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,ls,2,3000000.000000,6000000.000000,0.1256
"Pas. Tandon Air Stainless Steel kap 2000 liter + Otornais (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,set,2,4500000.000000,9000000.000000,0.1885
"Pompa air jetpump PC 268 bit (automatic) (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,unit,2,2500000.000000,5000000.000000,0.1047
"Timba (kamar mandi) (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,6,130000.000000,780000.000000,0.0163
"Kaca cermin uk. 80 x 160 cm (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,2,200000.000000,400000.000000,0.0084
Pekerjaan Pas. Septictank + Resapan,III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,unit,2,4114095.986419,8228191.972838,0.1723
Pas. Daya listrik baru 33.000 watt (Pasca bayar) (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,ls,1,35000000.000000,35000000.000000,0.7329
Panel Utama Lantai 1 ( P - UTAMA) (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,unit,1,7000000.000000,7000000.000000,0.1466
Panel Lantai 1 ( PP - 1A ) (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,unit,1,4000000.000000,4000000.000000,0.0838
Kabel dari KWH meter ke Panel utama lt 1 (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,mtr,15,100000.000000,1500000.000000,0.0314
Kabel dari  Panel utama  ke panel ( PP - 1A ) lantai 1  (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,mtr,10,45000.000000,450000.000000,0.0094
"Merger pekerjaan kabel tovoer, kabel instalasi ,kabel  (Pekerjaan Elektrikal)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,lsm,1,700000.000000,700000.000000,0.0147
Pemantekan dan pentanahan lengkap dengan bak kontrol  (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,lsm,1,1700000.000000,1700000.000000,0.0356
ROD minimal  12 meter dan pentanahan maximal 2 ohm (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,lsm,1,750000.000000,750000.000000,0.0157
Lampu I RM 300 LED   2 x 18 Watt (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,24,382744.150000,9185859.600000,0.1923
Lampu Down Light RD 100 LED 10 Watt (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,32,210244.150000,6727812.800000,0.1409
Saklar Tunggal (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,6,60602.850000,363617.100000,0.0076
Saklar Ganda (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,10,64507.850000,645078.500000,0.0135
Stop Kontak  (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,20,61383.850000,1227677.000000,0.0257
Stop Kontak AC  (Pekerjaan Elektrikal),III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,bh,8,61383.850000,491070.800000,0.0103
"Instalasi Kabel NYM 2 x 2,5 mm²  Lampu, dalam pipa  (Pekerjaan Elektrikal)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,titik,56,164355.950000,9203933.200000,0.1927
"Instalasi Kabel NYM 3 x 2,5 mm²  Stop Kontak, dalam pipa (Pekerjaan Elektrikal)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,titik,20,194619.700000,3892394.000000,0.0815
"Instalasi Kabel NYM 3 x 4 mm²  Stop Kontak AC, dalam pipa (Pekerjaan Elektrikal)",III. PEKERJAAN LANTAI I,C. PEKERJAAN  ELEKTRIKAL LANTAI I,titik,8,261785.700000,2094285.600000,0.0439
"Pas Konsol Besi WF. 200 x 100 x 5,5 x 8 mm",III. PEKERJAAN LANTAI I,D. PEKERJAAN  KONSOL TERAS LANTAI I,kg,234.3,25859.418750,6058861.813125,0.1269
Pas Diafragma Besi WF. 150 x 75 x 5 x 7 mm,III. PEKERJAAN LANTAI I,D. PEKERJAAN  KONSOL TERAS LANTAI I,kg,259,25859.418750,6697589.456250,0.1402
"Pas Besi CNP. 100 x 50 x 20 x 3,2 mm",III. PEKERJAAN LANTAI I,D. PEKERJAAN  KONSOL TERAS LANTAI I,kg,2.2,25195.293750,55429.646250,0.0012
